accession,db_symbol,db_is_small_molecule_in_clinic,db_is_antibody_in_clinic,db_is_other_in_clinic,db_small_molecule_drugs_in_clinic,db_antibody_drugs_in_clinic,db_other_drugs_in_clinic,db_all_drugs_in_clinic
O95477,ABCA1,True,False,False,"[{'drugbank_id': 'DB01599', 'name': 'Probucol', 'type': 'small molecule', 'groups': ['approved', 'investigational']}]",[],[],"[{'drugbank_id': 'DB01599', 'name': 'Probucol', 'type': 'small molecule', 'groups': ['approved', 'investigational']}]"
P17752,TPH1,True,False,False,"[{'drugbank_id': 'DB00360', 'name': 'Sapropterin', 'type': 'small molecule', 'groups': ['approved', 'investigational']}, {'drugbank_id': 'DB12095', 'name': 'Telotristat ethyl', 'type': 'small molecule', 'groups': ['approved', 'investigational']}]",[],[],"[{'drugbank_id': 'DB00360', 'name': 'Sapropterin', 'type': 'small molecule', 'groups': ['approved', 'investigational']}, {'drugbank_id': 'DB12095', 'name': 'Telotristat ethyl', 'type': 'small molecule', 'groups': ['approved', 'investigational']}]"
P03372,ESR1,True,False,False,"[{'drugbank_id': 'DB00255', 'name': 'Diethylstilbestrol', 'type': 'small molecule', 'groups': ['approved', 'investigational']}, {'drugbank_id': 'DB00269', 'name': 'Chlorotrianisene', 'type': 'small molecule', 'groups': ['investigational', 'withdrawn']}, {'drugbank_id': 'DB00286', 'name': 'Conjugated estrogens', 'type': 'small molecule', 'groups': ['approved']}, {'drugbank_id': 'DB00304', 'name': 'Desogestrel', 'type': 'small molecule', 'groups': ['approved']}, {'drugbank_id': 'DB00367', 'name': 'Levonorgestrel', 'type': 'small molecule', 'groups': ['approved', 'investigational']}, {'drugbank_id': 'DB00481', 'name': 'Raloxifene', 'type': 'small molecule', 'groups': ['approved', 'investigational']}, {'drugbank_id': 'DB00539', 'name': 'Toremifene', 'type': 'small molecule', 'groups': ['approved', 'investigational']}, {'drugbank_id': 'DB00603', 'name': 'Medroxyprogesterone acetate', 'type': 'small molecule', 'groups': ['approved', 'investigational']}, {'drugbank_id': 'DB00655', 'name': 'Estrone', 'type': 'small molecule', 'groups': ['approved']}, {'drugbank_id': 'DB00675', 'name': 'Tamoxifen', 'type': 'small molecule', 'groups': ['approved']}, {'drugbank_id': 'DB00783', 'name': 'Estradiol', 'type': 'small molecule', 'groups': ['approved', 'investigational', 'vet_approved']}, {'drugbank_id': 'DB00823', 'name': 'Ethynodiol diacetate', 'type': 'small molecule', 'groups': ['approved']}, {'drugbank_id': 'DB00882', 'name': 'Clomifene', 'type': 'small molecule', 'groups': ['approved', 'investigational']}, {'drugbank_id': 'DB00890', 'name': 'Dienestrol', 'type': 'small molecule', 'groups': ['approved', 'investigational']}, {'drugbank_id': 'DB00947', 'name': 'Fulvestrant', 'type': 'small molecule', 'groups': ['approved', 'investigational']}, {'drugbank_id': 'DB00957', 'name': 'Norgestimate', 'type': 'small molecule', 'groups': ['approved', 'investigational']}, {'drugbank_id': 'DB00977', 'name': 'Ethinylestradiol', 'type': 'small molecule', 'groups': ['approved']}, {'drugbank_id': 'DB01108', 'name': 'Trilostane', 'type': 'small molecule', 'groups': ['approved', 'investigational', 'vet_approved', 'withdrawn']}, {'drugbank_id': 'DB01185', 'name': 'Fluoxymesterone', 'type': 'small molecule', 'groups': ['approved', 'illicit']}, {'drugbank_id': 'DB01196', 'name': 'Estramustine', 'type': 'small molecule', 'groups': ['approved', 'investigational']}, {'drugbank_id': 'DB01357', 'name': 'Mestranol', 'type': 'small molecule', 'groups': ['approved']}, {'drugbank_id': 'DB01406', 'name': 'Danazol', 'type': 'small molecule', 'groups': ['approved']}, {'drugbank_id': 'DB04573', 'name': 'Estriol', 'type': 'small molecule', 'groups': ['approved', 'investigational', 'vet_approved']}, {'drugbank_id': 'DB04574', 'name': 'Estrone sulfate', 'type': 'small molecule', 'groups': ['approved']}, {'drugbank_id': 'DB04575', 'name': 'Quinestrol', 'type': 'small molecule', 'groups': ['approved']}, {'drugbank_id': 'DB04938', 'name': 'Ospemifene', 'type': 'small molecule', 'groups': ['approved', 'investigational']}, {'drugbank_id': 'DB06202', 'name': 'Lasofoxifene', 'type': 'small molecule', 'groups': ['approved', 'investigational']}, {'drugbank_id': 'DB06401', 'name': 'Bazedoxifene', 'type': 'small molecule', 'groups': ['approved', 'investigational']}, {'drugbank_id': 'DB09070', 'name': 'Tibolone', 'type': 'small molecule', 'groups': ['approved', 'investigational']}, {'drugbank_id': 'DB09317', 'name': 'Synthetic Conjugated Estrogens, A', 'type': 'small molecule', 'groups': ['approved']}, {'drugbank_id': 'DB09318', 'name': 'Synthetic Conjugated Estrogens, B', 'type': 'small molecule', 'groups': ['approved']}, {'drugbank_id': 'DB09369', 'name': 'Polyestradiol phosphate', 'type': 'small molecule', 'groups': ['approved']}, {'drugbank_id': 'DB13952', 'name': 'Estradiol acetate', 'type': 'small molecule', 'groups': ['approved', 'investigational', 'vet_approved']}, {'drugbank_id': 'DB13953', 'name': 'Estradiol benzoate', 'type': 'small molecule', 'groups': ['approved', 'investigational', 'vet_approved']}, {'drugbank_id': 'DB13954', 'name': 'Estradiol cypionate', 'type': 'small molecule', 'groups': ['approved', 'investigational', 'vet_approved']}, {'drugbank_id': 'DB13955', 'name': 'Estradiol dienanthate', 'type': 'small molecule', 'groups': ['approved', 'investigational', 'vet_approved']}, {'drugbank_id': 'DB13956', 'name': 'Estradiol valerate', 'type': 'small molecule', 'groups': ['approved', 'investigational', 'vet_approved']}]",[],[],"[{'drugbank_id': 'DB00255', 'name': 'Diethylstilbestrol', 'type': 'small molecule', 'groups': ['approved', 'investigational']}, {'drugbank_id': 'DB00269', 'name': 'Chlorotrianisene', 'type': 'small molecule', 'groups': ['investigational', 'withdrawn']}, {'drugbank_id': 'DB00286', 'name': 'Conjugated estrogens', 'type': 'small molecule', 'groups': ['approved']}, {'drugbank_id': 'DB00304', 'name': 'Desogestrel', 'type': 'small molecule', 'groups': ['approved']}, {'drugbank_id': 'DB00367', 'name': 'Levonorgestrel', 'type': 'small molecule', 'groups': ['approved', 'investigational']}, {'drugbank_id': 'DB00481', 'name': 'Raloxifene', 'type': 'small molecule', 'groups': ['approved', 'investigational']}, {'drugbank_id': 'DB00539', 'name': 'Toremifene', 'type': 'small molecule', 'groups': ['approved', 'investigational']}, {'drugbank_id': 'DB00603', 'name': 'Medroxyprogesterone acetate', 'type': 'small molecule', 'groups': ['approved', 'investigational']}, {'drugbank_id': 'DB00655', 'name': 'Estrone', 'type': 'small molecule', 'groups': ['approved']}, {'drugbank_id': 'DB00675', 'name': 'Tamoxifen', 'type': 'small molecule', 'groups': ['approved']}, {'drugbank_id': 'DB00783', 'name': 'Estradiol', 'type': 'small molecule', 'groups': ['approved', 'investigational', 'vet_approved']}, {'drugbank_id': 'DB00823', 'name': 'Ethynodiol diacetate', 'type': 'small molecule', 'groups': ['approved']}, {'drugbank_id': 'DB00882', 'name': 'Clomifene', 'type': 'small molecule', 'groups': ['approved', 'investigational']}, {'drugbank_id': 'DB00890', 'name': 'Dienestrol', 'type': 'small molecule', 'groups': ['approved', 'investigational']}, {'drugbank_id': 'DB00947', 'name': 'Fulvestrant', 'type': 'small molecule', 'groups': ['approved', 'investigational']}, {'drugbank_id': 'DB00957', 'name': 'Norgestimate', 'type': 'small molecule', 'groups': ['approved', 'investigational']}, {'drugbank_id': 'DB00977', 'name': 'Ethinylestradiol', 'type': 'small molecule', 'groups': ['approved']}, {'drugbank_id': 'DB01108', 'name': 'Trilostane', 'type': 'small molecule', 'groups': ['approved', 'investigational', 'vet_approved', 'withdrawn']}, {'drugbank_id': 'DB01185', 'name': 'Fluoxymesterone', 'type': 'small molecule', 'groups': ['approved', 'illicit']}, {'drugbank_id': 'DB01196', 'name': 'Estramustine', 'type': 'small molecule', 'groups': ['approved', 'investigational']}, {'drugbank_id': 'DB01357', 'name': 'Mestranol', 'type': 'small molecule', 'groups': ['approved']}, {'drugbank_id': 'DB01406', 'name': 'Danazol', 'type': 'small molecule', 'groups': ['approved']}, {'drugbank_id': 'DB04573', 'name': 'Estriol', 'type': 'small molecule', 'groups': ['approved', 'investigational', 'vet_approved']}, {'drugbank_id': 'DB04574', 'name': 'Estrone sulfate', 'type': 'small molecule', 'groups': ['approved']}, {'drugbank_id': 'DB04575', 'name': 'Quinestrol', 'type': 'small molecule', 'groups': ['approved']}, {'drugbank_id': 'DB04938', 'name': 'Ospemifene', 'type': 'small molecule', 'groups': ['approved', 'investigational']}, {'drugbank_id': 'DB06202', 'name': 'Lasofoxifene', 'type': 'small molecule', 'groups': ['approved', 'investigational']}, {'drugbank_id': 'DB06401', 'name': 'Bazedoxifene', 'type': 'small molecule', 'groups': ['approved', 'investigational']}, {'drugbank_id': 'DB09070', 'name': 'Tibolone', 'type': 'small molecule', 'groups': ['approved', 'investigational']}, {'drugbank_id': 'DB09317', 'name': 'Synthetic Conjugated Estrogens, A', 'type': 'small molecule', 'groups': ['approved']}, {'drugbank_id': 'DB09318', 'name': 'Synthetic Conjugated Estrogens, B', 'type': 'small molecule', 'groups': ['approved']}, {'drugbank_id': 'DB09369', 'name': 'Polyestradiol phosphate', 'type': 'small molecule', 'groups': ['approved']}, {'drugbank_id': 'DB13952', 'name': 'Estradiol acetate', 'type': 'small molecule', 'groups': ['approved', 'investigational', 'vet_approved']}, {'drugbank_id': 'DB13953', 'name': 'Estradiol benzoate', 'type': 'small molecule', 'groups': ['approved', 'investigational', 'vet_approved']}, {'drugbank_id': 'DB13954', 'name': 'Estradiol cypionate', 'type': 'small molecule', 'groups': ['approved', 'investigational', 'vet_approved']}, {'drugbank_id': 'DB13955', 'name': 'Estradiol dienanthate', 'type': 'small molecule', 'groups': ['approved', 'investigational', 'vet_approved']}, {'drugbank_id': 'DB13956', 'name': 'Estradiol valerate', 'type': 'small molecule', 'groups': ['approved', 'investigational', 'vet_approved']}, {'drugbank_id': 'DB14641', 'name': 'Estriol tripropionate', 'type': 'small molecule', 'groups': ['experimental']}]"
P24046,GABRR1,False,False,False,[],[],[],"[{'drugbank_id': 'DB00466', 'name': 'Picrotoxin', 'type': 'small molecule', 'groups': ['experimental']}, {'drugbank_id': 'DB01567', 'name': 'Fludiazepam', 'type': 'small molecule', 'groups': ['experimental', 'illicit']}]"
P69905,HBA1,True,False,False,"[{'drugbank_id': 'DB00893', 'name': 'Iron Dextran', 'type': 'small molecule', 'groups': ['approved', 'vet_approved']}, {'drugbank_id': 'DB06154', 'name': 'Pentaerythritol tetranitrate', 'type': 'small molecule', 'groups': ['approved']}, {'drugbank_id': 'DB09112', 'name': 'Nitrous acid', 'type': 'small molecule', 'groups': ['approved', 'investigational']}, {'drugbank_id': 'DB13257', 'name': 'Ferrous sulfate anhydrous', 'type': 'small molecule', 'groups': ['approved']}, {'drugbank_id': 'DB13995', 'name': 'Ferric pyrophosphate citrate', 'type': 'small molecule', 'groups': ['approved', 'investigational']}, {'drugbank_id': 'DB14975', 'name': 'Voxelotor', 'type': 'small molecule', 'groups': ['approved', 'investigational']}]",[],[],"[{'drugbank_id': 'DB00893', 'name': 'Iron Dextran', 'type': 'small molecule', 'groups': ['approved', 'vet_approved']}, {'drugbank_id': 'DB06154', 'name': 'Pentaerythritol tetranitrate', 'type': 'small molecule', 'groups': ['approved']}, {'drugbank_id': 'DB09112', 'name': 'Nitrous acid', 'type': 'small molecule', 'groups': ['approved', 'investigational']}, {'drugbank_id': 'DB09147', 'name': 'Ferric pyrophosphate', 'type': 'small molecule', 'groups': ['experimental']}, {'drugbank_id': 'DB13257', 'name': 'Ferrous sulfate anhydrous', 'type': 'small molecule', 'groups': ['approved']}, {'drugbank_id': 'DB13995', 'name': 'Ferric pyrophosphate citrate', 'type': 'small molecule', 'groups': ['approved', 'investigational']}, {'drugbank_id': 'DB14975', 'name': 'Voxelotor', 'type': 'small molecule', 'groups': ['approved', 'investigational']}]"
P10275,AR,True,False,False,"[{'drugbank_id': 'DB00499', 'name': 'Flutamide', 'type': 'small molecule', 'groups': ['approved', 'investigational']}, {'drugbank_id': 'DB00621', 'name': 'Oxandrolone', 'type': 'small molecule', 'groups': ['approved', 'investigational']}, {'drugbank_id': 'DB00624', 'name': 'Testosterone', 'type': 'small molecule', 'groups': ['approved', 'investigational']}, {'drugbank_id': 'DB00665', 'name': 'Nilutamide', 'type': 'small molecule', 'groups': ['approved', 'investigational']}, {'drugbank_id': 'DB00984', 'name': 'Nandrolone phenpropionate', 'type': 'small molecule', 'groups': ['approved', 'illicit', 'investigational']}, {'drugbank_id': 'DB01128', 'name': 'Bicalutamide', 'type': 'small molecule', 'groups': ['approved']}, {'drugbank_id': 'DB01185', 'name': 'Fluoxymesterone', 'type': 'small molecule', 'groups': ['approved', 'illicit']}, {'drugbank_id': 'DB01395', 'name': 'Drospirenone', 'type': 'small molecule', 'groups': ['approved']}, {'drugbank_id': 'DB01406', 'name': 'Danazol', 'type': 'small molecule', 'groups': ['approved']}, {'drugbank_id': 'DB01420', 'name': 'Testosterone propionate', 'type': 'small molecule', 'groups': ['approved', 'investigational', 'vet_approved', 'withdrawn']}, {'drugbank_id': 'DB01481', 'name': '1-Testosterone', 'type': 'small molecule', 'groups': ['experimental', 'illicit', 'investigational']}, {'drugbank_id': 'DB04839', 'name': 'Cyproterone acetate', 'type': 'small molecule', 'groups': ['approved', 'investigational']}, {'drugbank_id': 'DB06133', 'name': 'Dimethylcurcumin', 'type': 'small molecule', 'groups': ['investigational']}, {'drugbank_id': 'DB06412', 'name': 'Oxymetholone', 'type': 'small molecule', 'groups': ['approved', 'illicit']}, {'drugbank_id': 'DB06710', 'name': 'Methyltestosterone', 'type': 'small molecule', 'groups': ['approved']}, {'drugbank_id': 'DB06718', 'name': 'Stanozolol', 'type': 'small molecule', 'groups': ['approved', 'vet_approved']}, {'drugbank_id': 'DB08804', 'name': 'Nandrolone decanoate', 'type': 'small molecule', 'groups': ['approved', 'illicit']}, {'drugbank_id': 'DB08899', 'name': 'Enzalutamide', 'type': 'small molecule', 'groups': ['approved']}, {'drugbank_id': 'DB09123', 'name': 'Dienogest', 'type': 'small molecule', 'groups': ['approved']}, {'drugbank_id': 'DB11901', 'name': 'Apalutamide', 'type': 'small molecule', 'groups': ['approved', 'investigational']}, {'drugbank_id': 'DB12499', 'name': 'Clascoterone', 'type': 'small molecule', 'groups': ['approved', 'investigational']}, {'drugbank_id': 'DB12941', 'name': 'Darolutamide', 'type': 'small molecule', 'groups': ['approved', 'investigational']}, {'drugbank_id': 'DB13943', 'name': 'Testosterone cypionate', 'type': 'small molecule', 'groups': ['approved']}, {'drugbank_id': 'DB13944', 'name': 'Testosterone enanthate', 'type': 'small molecule', 'groups': ['approved']}, {'drugbank_id': 'DB13946', 'name': 'Testosterone undecanoate', 'type': 'small molecule', 'groups': ['approved', 'investigational']}]",[],[],"[{'drugbank_id': 'DB00499', 'name': 'Flutamide', 'type': 'small molecule', 'groups': ['approved', 'investigational']}, {'drugbank_id': 'DB00621', 'name': 'Oxandrolone', 'type': 'small molecule', 'groups': ['approved', 'investigational']}, {'drugbank_id': 'DB00624', 'name': 'Testosterone', 'type': 'small molecule', 'groups': ['approved', 'investigational']}, {'drugbank_id': 'DB00665', 'name': 'Nilutamide', 'type': 'small molecule', 'groups': ['approved', 'investigational']}, {'drugbank_id': 'DB00858', 'name': 'Drostanolone', 'type': 'small molecule', 'groups': ['illicit']}, {'drugbank_id': 'DB00984', 'name': 'Nandrolone phenpropionate', 'type': 'small molecule', 'groups': ['approved', 'illicit', 'investigational']}, {'drugbank_id': 'DB01128', 'name': 'Bicalutamide', 'type': 'small molecule', 'groups': ['approved']}, {'drugbank_id': 'DB01185', 'name': 'Fluoxymesterone', 'type': 'small molecule', 'groups': ['approved', 'illicit']}, {'drugbank_id': 'DB01395', 'name': 'Drospirenone', 'type': 'small molecule', 'groups': ['approved']}, {'drugbank_id': 'DB01406', 'name': 'Danazol', 'type': 'small molecule', 'groups': ['approved']}, {'drugbank_id': 'DB01420', 'name': 'Testosterone propionate', 'type': 'small molecule', 'groups': ['approved', 'investigational', 'vet_approved', 'withdrawn']}, {'drugbank_id': 'DB01481', 'name': '1-Testosterone', 'type': 'small molecule', 'groups': ['experimental', 'illicit', 'investigational']}, {'drugbank_id': 'DB01541', 'name': 'Boldenone', 'type': 'small molecule', 'groups': ['illicit', 'vet_approved']}, {'drugbank_id': 'DB01564', 'name': 'Calusterone', 'type': 'small molecule', 'groups': ['experimental', 'illicit']}, {'drugbank_id': 'DB04839', 'name': 'Cyproterone acetate', 'type': 'small molecule', 'groups': ['approved', 'investigational']}, {'drugbank_id': 'DB06133', 'name': 'Dimethylcurcumin', 'type': 'small molecule', 'groups': ['investigational']}, {'drugbank_id': 'DB06412', 'name': 'Oxymetholone', 'type': 'small molecule', 'groups': ['approved', 'illicit']}, {'drugbank_id': 'DB06710', 'name': 'Methyltestosterone', 'type': 'small molecule', 'groups': ['approved']}, {'drugbank_id': 'DB06718', 'name': 'Stanozolol', 'type': 'small molecule', 'groups': ['approved', 'vet_approved']}, {'drugbank_id': 'DB08804', 'name': 'Nandrolone decanoate', 'type': 'small molecule', 'groups': ['approved', 'illicit']}, {'drugbank_id': 'DB08899', 'name': 'Enzalutamide', 'type': 'small molecule', 'groups': ['approved']}, {'drugbank_id': 'DB09123', 'name': 'Dienogest', 'type': 'small molecule', 'groups': ['approved']}, {'drugbank_id': 'DB11901', 'name': 'Apalutamide', 'type': 'small molecule', 'groups': ['approved', 'investigational']}, {'drugbank_id': 'DB12499', 'name': 'Clascoterone', 'type': 'small molecule', 'groups': ['approved', 'investigational']}, {'drugbank_id': 'DB12941', 'name': 'Darolutamide', 'type': 'small molecule', 'groups': ['approved', 'investigational']}, {'drugbank_id': 'DB13943', 'name': 'Testosterone cypionate', 'type': 'small molecule', 'groups': ['approved']}, {'drugbank_id': 'DB13944', 'name': 'Testosterone enanthate', 'type': 'small molecule', 'groups': ['approved']}, {'drugbank_id': 'DB13946', 'name': 'Testosterone undecanoate', 'type': 'small molecule', 'groups': ['approved', 'investigational']}, {'drugbank_id': 'DB14639', 'name': 'Boldenone undecylenate', 'type': 'small molecule', 'groups': ['illicit', 'vet_approved']}]"
P05091,ALDH2,True,False,False,"[{'drugbank_id': 'DB00536', 'name': 'Guanidine', 'type': 'small molecule', 'groups': ['approved']}, {'drugbank_id': 'DB00822', 'name': 'Disulfiram', 'type': 'small molecule', 'groups': ['approved']}]",[],[],"[{'drugbank_id': 'DB00536', 'name': 'Guanidine', 'type': 'small molecule', 'groups': ['approved']}, {'drugbank_id': 'DB00822', 'name': 'Disulfiram', 'type': 'small molecule', 'groups': ['approved']}]"
P22888,LHCGR,True,False,True,"[{'drugbank_id': 'DB00014', 'name': 'Goserelin', 'type': 'small molecule', 'groups': ['approved']}]",[],"[{'drugbank_id': 'DB00032', 'name': 'Menotropins', 'type': 'other', 'groups': ['approved']}, {'drugbank_id': 'DB00044', 'name': 'Lutropin alfa', 'type': 'other', 'groups': ['approved']}, {'drugbank_id': 'DB00097', 'name': 'Choriogonadotropin alfa', 'type': 'other', 'groups': ['approved']}, {'drugbank_id': 'DB06719', 'name': 'Buserelin', 'type': 'other', 'groups': ['approved', 'investigational']}, {'drugbank_id': 'DB09126', 'name': 'Chorionic Gonadotropin (Human)', 'type': 'other', 'groups': ['approved', 'vet_approved']}]","[{'drugbank_id': 'DB00014', 'name': 'Goserelin', 'type': 'small molecule', 'groups': ['approved']}, {'drugbank_id': 'DB00032', 'name': 'Menotropins', 'type': 'other', 'groups': ['approved']}, {'drugbank_id': 'DB00044', 'name': 'Lutropin alfa', 'type': 'other', 'groups': ['approved']}, {'drugbank_id': 'DB00097', 'name': 'Choriogonadotropin alfa', 'type': 'other', 'groups': ['approved']}, {'drugbank_id': 'DB06719', 'name': 'Buserelin', 'type': 'other', 'groups': ['approved', 'investigational']}, {'drugbank_id': 'DB09126', 'name': 'Chorionic Gonadotropin (Human)', 'type': 'other', 'groups': ['approved', 'vet_approved']}]"
Q8WY07,SLC7A3,True,False,False,"[{'drugbank_id': 'DB13146', 'name': 'Fluciclovine (18F)', 'type': 'small molecule', 'groups': ['approved']}]",[],[],"[{'drugbank_id': 'DB13146', 'name': 'Fluciclovine (18F)', 'type': 'small molecule', 'groups': ['approved']}]"
P09172,DBH,True,False,False,"[{'drugbank_id': 'DB00822', 'name': 'Disulfiram', 'type': 'small molecule', 'groups': ['approved']}, {'drugbank_id': 'DB00988', 'name': 'Dopamine', 'type': 'small molecule', 'groups': ['approved']}]",[],[],"[{'drugbank_id': 'DB00822', 'name': 'Disulfiram', 'type': 'small molecule', 'groups': ['approved']}, {'drugbank_id': 'DB00988', 'name': 'Dopamine', 'type': 'small molecule', 'groups': ['approved']}]"
P35498,SCN1A,True,False,False,"[{'drugbank_id': 'DB00252', 'name': 'Phenytoin', 'type': 'small molecule', 'groups': ['approved', 'vet_approved']}, {'drugbank_id': 'DB00909', 'name': 'Zonisamide', 'type': 'small molecule', 'groups': ['approved', 'investigational']}, {'drugbank_id': 'DB01121', 'name': 'Phenacemide', 'type': 'small molecule', 'groups': ['approved']}, {'drugbank_id': 'DB01438', 'name': 'Phenazopyridine', 'type': 'small molecule', 'groups': ['approved']}, {'drugbank_id': 'DB04930', 'name': 'Permethrin', 'type': 'small molecule', 'groups': ['approved', 'investigational']}]",[],[],"[{'drugbank_id': 'DB00252', 'name': 'Phenytoin', 'type': 'small molecule', 'groups': ['approved', 'vet_approved']}, {'drugbank_id': 'DB00909', 'name': 'Zonisamide', 'type': 'small molecule', 'groups': ['approved', 'investigational']}, {'drugbank_id': 'DB01121', 'name': 'Phenacemide', 'type': 'small molecule', 'groups': ['approved']}, {'drugbank_id': 'DB01438', 'name': 'Phenazopyridine', 'type': 'small molecule', 'groups': ['approved']}, {'drugbank_id': 'DB04930', 'name': 'Permethrin', 'type': 'small molecule', 'groups': ['approved', 'investigational']}]"
P07437,TUBB,True,True,False,"[{'drugbank_id': 'DB00361', 'name': 'Vinorelbine', 'type': 'small molecule', 'groups': ['approved', 'investigational']}, {'drugbank_id': 'DB00541', 'name': 'Vincristine', 'type': 'small molecule', 'groups': ['approved', 'investigational']}, {'drugbank_id': 'DB00570', 'name': 'Vinblastine', 'type': 'small molecule', 'groups': ['approved']}, {'drugbank_id': 'DB01179', 'name': 'Podofilox', 'type': 'small molecule', 'groups': ['approved']}, {'drugbank_id': 'DB01394', 'name': 'Colchicine', 'type': 'small molecule', 'groups': ['approved']}, {'drugbank_id': 'DB06137', 'name': 'Tirbanibulin', 'type': 'small molecule', 'groups': ['approved', 'investigational']}, {'drugbank_id': 'DB11641', 'name': 'Vinflunine', 'type': 'small molecule', 'groups': ['approved', 'investigational']}]","[{'drugbank_id': 'DB11731', 'name': 'Depatuxizumab mafodotin', 'type': 'antibody', 'groups': ['investigational']}]",[],"[{'drugbank_id': 'DB00361', 'name': 'Vinorelbine', 'type': 'small molecule', 'groups': ['approved', 'investigational']}, {'drugbank_id': 'DB00541', 'name': 'Vincristine', 'type': 'small molecule', 'groups': ['approved', 'investigational']}, {'drugbank_id': 'DB00570', 'name': 'Vinblastine', 'type': 'small molecule', 'groups': ['approved']}, {'drugbank_id': 'DB01179', 'name': 'Podofilox', 'type': 'small molecule', 'groups': ['approved']}, {'drugbank_id': 'DB01394', 'name': 'Colchicine', 'type': 'small molecule', 'groups': ['approved']}, {'drugbank_id': 'DB06137', 'name': 'Tirbanibulin', 'type': 'small molecule', 'groups': ['approved', 'investigational']}, {'drugbank_id': 'DB11641', 'name': 'Vinflunine', 'type': 'small molecule', 'groups': ['approved', 'investigational']}, {'drugbank_id': 'DB11731', 'name': 'Depatuxizumab mafodotin', 'type': 'antibody', 'groups': ['investigational']}]"
P13631,RARG,True,False,False,"[{'drugbank_id': 'DB00210', 'name': 'Adapalene', 'type': 'small molecule', 'groups': ['approved']}, {'drugbank_id': 'DB00459', 'name': 'Acitretin', 'type': 'small molecule', 'groups': ['approved']}, {'drugbank_id': 'DB00523', 'name': 'Alitretinoin', 'type': 'small molecule', 'groups': ['approved', 'investigational']}, {'drugbank_id': 'DB00755', 'name': 'Tretinoin', 'type': 'small molecule', 'groups': ['approved', 'investigational', 'nutraceutical']}, {'drugbank_id': 'DB00799', 'name': 'Tazarotene', 'type': 'small molecule', 'groups': ['approved', 'investigational']}, {'drugbank_id': 'DB00926', 'name': 'Etretinate', 'type': 'small molecule', 'groups': ['withdrawn']}, {'drugbank_id': 'DB12808', 'name': 'Trifarotene', 'type': 'small molecule', 'groups': ['approved', 'investigational']}]",[],[],"[{'drugbank_id': 'DB00210', 'name': 'Adapalene', 'type': 'small molecule', 'groups': ['approved']}, {'drugbank_id': 'DB00459', 'name': 'Acitretin', 'type': 'small molecule', 'groups': ['approved']}, {'drugbank_id': 'DB00523', 'name': 'Alitretinoin', 'type': 'small molecule', 'groups': ['approved', 'investigational']}, {'drugbank_id': 'DB00755', 'name': 'Tretinoin', 'type': 'small molecule', 'groups': ['approved', 'investigational', 'nutraceutical']}, {'drugbank_id': 'DB00799', 'name': 'Tazarotene', 'type': 'small molecule', 'groups': ['approved', 'investigational']}, {'drugbank_id': 'DB00926', 'name': 'Etretinate', 'type': 'small molecule', 'groups': ['withdrawn']}, {'drugbank_id': 'DB12808', 'name': 'Trifarotene', 'type': 'small molecule', 'groups': ['approved', 'investigational']}]"
P21918,DRD5,True,False,False,"[{'drugbank_id': 'DB00800', 'name': 'Fenoldopam', 'type': 'small molecule', 'groups': ['approved']}, {'drugbank_id': 'DB00988', 'name': 'Dopamine', 'type': 'small molecule', 'groups': ['approved']}, {'drugbank_id': 'DB01038', 'name': 'Carphenazine', 'type': 'small molecule', 'groups': ['withdrawn']}, {'drugbank_id': 'DB01186', 'name': 'Pergolide', 'type': 'small molecule', 'groups': ['approved', 'investigational', 'vet_approved', 'withdrawn']}, {'drugbank_id': 'DB01235', 'name': 'Levodopa', 'type': 'small molecule', 'groups': ['approved']}, {'drugbank_id': 'DB01624', 'name': 'Zuclopenthixol', 'type': 'small molecule', 'groups': ['approved', 'investigational']}]",[],[],"[{'drugbank_id': 'DB00800', 'name': 'Fenoldopam', 'type': 'small molecule', 'groups': ['approved']}, {'drugbank_id': 'DB00988', 'name': 'Dopamine', 'type': 'small molecule', 'groups': ['approved']}, {'drugbank_id': 'DB01038', 'name': 'Carphenazine', 'type': 'small molecule', 'groups': ['withdrawn']}, {'drugbank_id': 'DB01186', 'name': 'Pergolide', 'type': 'small molecule', 'groups': ['approved', 'investigational', 'vet_approved', 'withdrawn']}, {'drugbank_id': 'DB01235', 'name': 'Levodopa', 'type': 'small molecule', 'groups': ['approved']}, {'drugbank_id': 'DB01624', 'name': 'Zuclopenthixol', 'type': 'small molecule', 'groups': ['approved', 'investigational']}]"
Q9H3N8,HRH4,True,False,False,"[{'drugbank_id': 'DB01620', 'name': 'Pheniramine', 'type': 'small molecule', 'groups': ['approved']}]",[],[],"[{'drugbank_id': 'DB01620', 'name': 'Pheniramine', 'type': 'small molecule', 'groups': ['approved']}]"
